id,text,label,pred_label,pred_confidence,suggested_error_group,student_note
31245,"mickey rourke hunts diane lane in elmore leonard ' s killshot it is not like mickey rourke ever really disappeared . he has had a steady string of appearances before he burst back on the scene . he was memorable in : domino , sin city , man on fire , once upon a time in mexico , and get carter . but in his powerful dramatic performance in the wrestler ( 2008 ) , we see a full blown presentation of the character only hinted at in get carter . whenever we get to know him , rourke remains a cool , but sleazy , muscle bound slim ball . this is an elmore leonard story , and production . leonard wrote such notable movies as taunt western thriller 3 : 10 to yuma , be cool , jackie brown , get shorty , 52 pick - up , and joe kidd . this means that we get tough guys , some good , some not so good . it also means we get tight , realistic plots with characters doing what is best for them in each situation , weaving complications into violent conclusions . killshot is no different . tough , slim ball killer rourke stalks unhappily married witness lane . think history of violence meets no country for old men . it is not as intense , bloody or gory as those two , but it is almost as good . if you like those two , including david croneberg ' s equally wonderful eastern promises , you will like killshot also . director john madden has not done a lot of movies . his last few were enjoyable , if not successful : proof , captain corelli ' s mandolin and shakespeare in love . diana lane hasn ' t had a powerful movie role since she and richard gere gave incredible performances in unfaithful . lately she is charming and appealing in romantic stories such as nights in rodanthe , must love dogs , and under the tuscan sun . here she is right on mark , balancing her sexy appeal with reserved tension . this is a small part for rosario dawson . yet dawson does a good job with it . you see a lot more of lane , including an underwear scene to rival sigourney weaver in aliens and nicole kidman in eyes wide shut . while you are in the crime drama section , also pick up kiss , kiss , bang , bang , and gone baby gone , and before the devil knows your dead . the last has wonderful performances by phillip seymour hoffman , ethan hawke , marisa tomei and albert finney . killshot flopped at the box office . more is our luck . it is certainly worth a 3 - 4 dollar rental , if you like this genre . 6 / 20 / 2009",negative,positive,0.9999999999988494,,
12497,"i saw this movie , just now , not when it was released and hailed as best picture of the year here in israel . and to summarize everything right now , i will just say : this is not a good film . this is dror shaul ' s second feature film , and i have to admit that his first and the tv drama he made before this picture are much better . further more , this is his first attempt at directing a drama . the early works were comedies , and were funny and effective . the first thing you have to know if you ' ll ever see this film : israel of the 21st century hates the kibbutz and the values it represented since the formation of the state of israel . the real situation of the kibbutzim is very dire , and some of them disappear one by one . the kibbutz , hebrew word for collective , was a sort of village for members only , where the values of equality and socialism were the dogma for everyday life . with the change in social values with time , it seems now that the kibbutz was a place where the human spirit was repressed , locked within the dogma rules , with no ticket out . the entrance of capitalist values and way of life in the 90 ' s and so far made it very hard on the kibbutzim to survive . the crazy mother in the film is the central metaphor for that . but , i regard this film as having nothing to do with nostalgia for the good old days of the kibbutz . once , it was a dream of every young couple to live in a kibbutz and raise children in this quite and beautiful environment . but the film shows the opposite . that the kibbutz , with it ' s socialist dogma , was a place sort of like a cult of crazy people , with crazy ideas that undermine the freedom of each individual within the collective . this is the central philosophy of post modern capitalism : your individuality is the most important thing . you must place yourself in the center , and no one else but you is the matter . this is the philosophy the film stands for , and that ' s just it ' s first sin . if you disagree with me on the political side , i ' m sure you will agree that the acting , the tone of the film , it ' s script and it ' s direction are the four sins that follow . the film has no real visual text and none of it ' s shots is something to remember . it is also very "" delicate "" , a delicacy that is no more than artsy fartsy attempt to provoke emotions , which do not surface , not in the film and not with the viewer . it brings nothing but boredom . can someone please explain : why this film won so many prizes ? maybe because it shows that israel is in line with the rest of the world , hating socialist and human values ? or maybe it shows that israel is a "" delicate "" place , not giving in to dogmas and fanaticism ? that we are basically very human and good people , capable of emotions , especially when they are fake ones , just like capitalism expects us to be ? or maybe because it tells one of the biggest lies of israeli cinema in recent years , a lie that undermines the justification of the existence of the jewish state ? no matter what the answer is , it ' s not a good one . not for the world , not for human values and not for the jews .",negative,positive,0.9999999979205252,,
36218,"the thesis of father brown is that a good dose of roman catholicism will solve all of life ' s problems . a little proselytizing i don ' t mind , but this gets a bit ridiculous at times . some fine actors have played father brown over the years , kenneth more and barnard hughes are two good examples . alec guinness plays him in this film and does all right by him , but you didn ' t see any great demand for future father brown films . i suppose if you are a committed roman catholic it all makes perfectly good sense . it ' s far more important to catch the thief and convert him to your religion than see he ' s brought to justice . but that ' s what were asked to accept here . in fact there is a preliminary story before the main action of the film . guinness in clerical garb is caught trying to put back stolen articles that one of his parishioners sidney james had heisted during a robbery . that ' s the story he gives the local cops and of course this is something that james has confided in him so he can ' t break the confessional . now on to bigger game . master thief flambeau , played by peter finch has stolen a cross that is entrusted to father brown and was said to belong to st . augustine back in the day . but father brown is more interested in getting flambeau to go back to his faith than seeing him brought to justice . so he misleads the cops so he can accomplish his mission . i ' m sorry but this whole thing was just too much for me to swallow . father brown i ' d hate to say it was guilty of obstruction and ought to have been arrested . and he was under no obligation not to reveal anything he knew about flambeau , the man had not come to him as a penitent seeking absolution and spiritual advice . author g . k . chesterton , a very noted catholic lay person in his day , finds all this very reasonable . carried to his logical conclusion we should replace all police forces with an army of priests . guinness borrows from his own reverend ascoyne d ' ascoyne from kind hearts and coronets and from barry fitzgerald in going my way to create father brown . granted though brown is a lot shrewder than the other two . there ' s also a bit of colonel nicholson in this portrayal . in the bridge on the river kwai , guinness also was playing a character who ' s rather weird interpretation of the rules caused him to lose sight of what was important in the situation nicholson was in . father brown ' s an entertaining fellow when he ' s solving mysteries and making the authorities look foolish . we ' ve enjoyed brother cadfael do it in a medieval setting and american audiences liked father dowling played by tom bosley a few years back . this film should have stuck to being entertaining .",negative,positive,0.9999999978462386,,
34543,"lois weber ' s film "" hypocrites "" was and still kind of is a very bold and daring film . i enjoyed it and was very impressed by the filming and story of it . the priest sees the hypocrisy of the people in his church and tries to show them the "" naked "" truth . the people are appalled when he reveals the naked statue portraying truth , after failing to lead them to it and the few that did , help along the way . the people do not want to face the truth that they are doing anything wrong , but it shows them putting things before god , going to beach parties acting inappropriate , their materialistic ways , and other things in which the people of our world do that tend to not be morally right . in the end , failing to gain any followers , he must enter into the gates of heaven alone . this film seems to me to be very bold , in the fact that a naked woman is shown throughout it , especially considering the time period in which this film was made . the imagery and symbolism portrayed in this movie i found incredible . the way they made the naked woman translucent and using a naked woman to symbolize the naked truth shows a lot of creativity and art . showing the different sins of the people as they walked down the road and refused to follow along the path , each with different excuses , setbacks , and / or higher priorities , was a great way of representing the people of today . this film does a very good job of getting the moral message across to its audience . lois weber has a tremendous way of capturing her spectators ' attention with her creativity , symbolism , visuals , and through auditory . even the music of the piano throughout this film is very beautiful and fitting with the whole theme .",negative,positive,0.9999999903660578,,
33759,"i loved this movie when it first came out ( but i was just 12 years old then - and i had forgotten this film existed until one day i found a used copy for sale at a gas station . i bought it and i couldn ' t wait to watch this film that had i loved as a kid , and then as i saw this film again many years later , it hit me . . . . why in the world did i like this film as a kid , watching it again as an adult i realized that this film is terrible . the saddest part about this film is that they had everything in place to make the greatest western ever and they blew it ! ! ! the costumes are perfect , good actors , there are 2 music scores the orchestrail score is wonderful , and keeps with the classic spirit of the old timey lone ranger alive , the second score is a series of songs by country music artest like merle haggerd , and the statler brothers and those songs like "" the man in the mask "" are so bad that they are funny . this movies strongest point is that it had a briliant storyline , and one of the best western plots ever , and for a while its fun to watch as john reid is nursed back to health , after he and his fellow rangers are ambushed . its fun to see him grow into his new life and identity as the lone ranger , as he concels his identity , and goes on a revenge run to get the gang responsible for killing his brother and all his fellow rangers to whom he rode with . but unfortunatly , as good as the storyline is , its all ruined by merle haggard narrating everything as you are watching it happen ( for the love of god why did they do that ? ) between merle haggard ' s narration and the statler brothers singing corny ( stupid ) songs like "" ride little cowboy "" being playing in the backgound make this movie impossible to take serious . i would love to see a really good producer take this same script and story and re - do this film right , because at the heart of this silly film is a great western . - - - i would descibe this film as a beautiful woman dress in the ugliest clothing . i give it 4 stars out of 10 - - if your 12 years old , and dont know better , then you might love it .",negative,positive,0.9999999084472194,,
11435,"i watched this film on the hallmark channel recently . in my opinion , the film started out decent enough , but eventually got sour . the story : a u . s . soldier in afghanistan receives one of the christmas cards that a woman back in the u . s . has sent out to troops for christmas . he becomes so inspired by the christmas card that he feels it has given him a ray of hope and happiness in his life , a motivation to continue on . when he is given leave , he goes to the very town that the woman lives in . he comes across and spunky young woman and eventually finds out that she is the one that sent the christmas card . he meets the family and after saving her dad ( a vietnam war veteran ) from getting hit by a car whilst crossing the street , the family decides to take him in for a while . we learn that he doesn ' t have a family back home . the soldier agrees to help out the family during the christmas season by working with them at their logging company . the family comes to love him and vice - versa . the soldier also becomes in love with the family ' s daughter - the woman that sent the christmas card . there ' s only one problem . she already has a serious relationship with a man that she ' s in love with . it ' s also a long distance relationship . the boyfriend is very different from the soldier . he prefers wine and trips to france over hard labor and the great outdoors . the woman prefers the latter . throughout the rest of the film , there is a "" love triangle "" as the woman ' s boyfriend is back in town visiting her for the season . everyone in the family seems to want the daughter to be with the soldier and the mom basically wants what ' s best for her daughter . ** ( spoiler alert ) ** the woman comes to like the soldier more and more , as they have a lot in common . they happen to spend a lot of time together . she gradually becomes attracted to his persona . then one day he kisses her and and she kisses him back . now she ' s so confused ! she ' s in love with her boyfriend and wants to marry him someday , but she ' s become so fond of the soldier . soon enough , the boyfriend ( who doesn ' t know about the kiss , but is very protective of the woman and thinks the soldier has been trying to move in on her ) decides to propose to the woman and she accepts . his plans for their marriage , however , are not plans that she wants . she wants to be at home , have kids and be close to her family . he wants to travel the world , go to exotic places and if they have kids he wants to take them along . this doesn ' t sound too thrilling for the woman . however , the soldier feels bad about what he ' s done and doesn ' t want to make things worse . so , he decides to leave town , despite the dad ' s urging him to stay and be with his daughter . it all comes to a head when , at the christmas eve service with church , we find out that the soldier hasn ' t left yet . the boyfriend and the woman speak to each other outside and he , broken - hearted , basically decides to let her go and breaks up with her . the film ends with the woman and the soldier getting together . things i like : i like the soldier throughout much of the film . he ' s basically nice and polite , with a strong sense of doing good for others ; there are moments in which the family is going with church and participating in charitable causes ; the family hold hands and pray during an evening meal at the table ; the dad and mom have a long - lasting and evidently healthy marriage ; the soldier tries to do the right thing in a situation after he did something very wrong things i don ' t like : there is a very typical "" love triangle "" story in this film ; the soldier turns sour as he slowly and subtly moves in on the woman and then eventually kisses her when she already has a boyfriend ; most of the family practically applauds this behavior - the family goes with church and participates in services , yet this is how they act ; there is some bad language conclusion : i became disappointed as the film ran on , and it got worse and worse . i ended up fast forwarding the very end of the film because i had enough . so , the film started out decent with some few gem moments , but ended up ruining itself . therefore , i don ' t recommend this film to anyone .",negative,positive,0.999999669027393,,
49725,"this dvd set is the complete widescreen 15 - episode run of "" surface "" , a television show made by universal in 2006 . the full running time is 10 hours and 34 minutes plus a few bonus features ( deleted scenes , cast interviews , special effects featurette ) . this was a relatively high budget show and much of the budget makes it to the screen in the form of quality production design and special effects . unfortunately 10+ hours is a lot of time and as typically happens with this type of stuff , the overall quality begins to fall off in the later episodes . i found the first 7 episodes ( discs 1 and 2 ) extremely engaging and the remainder a disappointment . "" surface "" was produced , written and directed by josh and jonas pate ; and it appears that they were surprised by the success of the series and unable to cobble together enough good subsequent material as they rushed to fill the order for additional episodes . it even looks like additional writers were brought in for the later episodes because the characters ( who were already the weakest part of the series ) lack consistency with the way they were played in the early episodes . the series was canceled and although the last episode provides a conclusion of sorts there are still a lot of things left hanging . it is basically a science fiction story about genetically created dragons ; sort of a television blend of "" jurassic park "" and "" et "" . the story begins as a puzzle as a crew - less navy sub is found adrift at sea , boaters on a texas lake are sucked into whirlpool , a lighthouse in africa is destroyed by a huge monster , etc . etc . and as long as things stay this vague there is a fair amount of tension and suspense . a human element is introduced in the form of three american families , one on each coast and one on the gulf of mexico . laura daughterty ( lake bell ) is a california marine biologist who discovers a strange creature rising from an undersea thermal vent on the ocean floor . rich connelly ( jay r . ferguson ) is diving with his younger brother in the gulf when a similar creature drags his brother away ( never to be seen again ) . miles bennett ( carter jenkins ) is a wilmington teenager who finds some strange eggs floating in the ocean . he takes one home where it hatches into an "" et "" type dragon . he will spend the rest of the series trying to hide his strange pet from his family and from the local authorities . these dragons may look like lizards but they are more like indestructible electric eels , firing electromagnetic pulses , causing lightning strikes , emptying the sea of fish , and reproducing like a bunch of randy rabbits when they find an undersea thermal vent of boiling water . as long as it ' s uncertain whether or not they ' re intelligent , extraterrestrial , or harmless the premise is interesting . once you begin to suspect their origin it all gets very tired and predictable . jay r . ferguson ( a staggeringly bad actor in the tradition of david hasselhoff ) essentially plays the richard dreyfuss character from "" close encounters of the third kind "" , so you know that with a better actor and a better director it could have been an interesting character . you will grow to hate this character more with each episode . unfortunately what starts out as three parallel story lines is soon condensed into two as ferguson and bell ( a low - budget version of sandra bullock ) are soon paired up and involved in a series of moronic adventures almost as improbable as the stuff "" jason bourne "" gets himself into . you expect plot holes and the need to suspend disbelief in this type of show ( that can even be part of the fun ) but their adventures are not just totally implausible , they are utterly and completely boring . there are three consecutive episodes that feature ferguson and bell together in a submersible that will have you longing for the excitement of an all - day actuarial conference . jenkins ( miles ) is the strongest member of the cast and the segments with his pet dragon ( nimrod ) are inter - cut often enough with the boring ferguson - bell stuff to keep you watching . and these segments benefit from the presence of gorgeous leighton meester ( of recent "" gossip girl "" fame ) as his sister savannah . apparently the producers picked up on the importance of this to their "" teenage boy "" target audience and the one positive thing they did with the later episodes of the series was to introduce linsey godrey ( caitlin ) as a "" first love "" interest for miles . so as savannah ' s screen time decreases catlin is gradually phased in . in retrospect they needed a third storyline to keep viewers sufficiently engaged and it would have been better to limit the adult melodrama in favor of a second group of young actors . then again , what do i know ? i ' m only a child .",positive,negative,0.9999994203174362,,
12727,""" gespenster "" question of to be cool in the german cinema there are not many german films in the last ten years , who have made me so interest . yes , the problem of the most german films are in this film "" gespenster "" too . he is on some places to uncooked to be good to see . special the figure of toni ( sabine timento ) is too cool . but thats is in german films always so . everybody must to learns this coolneß - is the realism in this films . thats difficult to understand . but in this case it makes some sense , because she steals and she lies - she is the kind of girl is better you never love it , because you lose it . thats not clear for the other girl nina in this film . she love her - and she would lose her . but nina lost everything . she will play with soft emotion and a sad feeling . there is no way - but you must take it said herbert achterbusch for twenty years . thats so often the way it goes in german films . why ? nina ( julia hummer ) is not inside of the laws of society - the is outside - and there she have no chance . this films tries not on every place to gave her a part inside . thats one of the problems - the stupid break with conventions - the criminal fascination . throw it all away - and go nowhere ! but the actress plays this difficult part very interesting . on the other side - there the parents - who are the pendant to the two girls . the have a car - a hotel suite - the have money and live in world with music of the opera . but the film stand always in some distance to seem . there is no much explaining of them . in the center of this film , there is one scene you will never forget . the two girls got to a casting . and there they should say how they find together . in this scene toni will lying on . she said a fantastic story - has nothing to do with her . and then nina will say the truth . she said it in an introversion way . there is no exhibition in it . she looks to the bottom and said what will happened for here . thats a great moment . in the next scene on the party with pictures in red this feeling is going on - than toni goes away . . . okay , the film will end - in the german way of coolneß - rubbish - here the circle of sadness is closing . but there was a moment - where is happening something else - and this moment was important . he is more than german coolneß - and this moments are rare in the german cinema in this time !",positive,negative,0.9999992895619195,,
36707,"this has to be one of the all time greatest horror movies . charles band made the best movie of 96 ' in this little seen gem . highly realistic and , incredibly stylised - with a visual flair david fincher would envy , its not hard to see why band went on to make such classics as ' killjoy 2 : deliverance from evil ' , ' the regina pierce affair ' , ' virgins of sherwood forest ' , and ' timegate : tales of the saddle tramps ' . with a highly sophisticated story - a tiny body with a large head controls a family of weirdos who perform experiments on naked women , this movie may be a bit too much for younger viewers and is only for the most educated type of viewer , but for those who see it , band is able to convey subtle messages about the human condition through his masterpiece . the head is symbolic of the lost love and longing for one ' s inner self that we all must face at one point or another , and for this reason i was able to engage with this film on a deeply personal level . although many earlier critics have compared band ' s film to re - animator and other lesser works , this stands head and heels above the rest . it is gorier , but not pointlessly . the gore in this film is well crafted and used to enhance the storyline , rather than to just get a cheap shriek out of the audience . also , the special effects in this film are absolutely top notch , easily the best work done in a horror film since . . . well . . . ever ! the work in this film makes savini ' s effects look like the work of a blind , limbless hobo . the only problem i have with this film is the copious amounts of full frontal nudity , which were ultimately unnecessary in achieving the composer ' s goal - to create a timeless epic that would forever go down in history as possibly the greatest film of all time . if it were not for this slight problem i would have given this film a perfect 10 .",negative,positive,0.9999982280242405,,
15165,"in the aftermath of watergate , a number of conspiracy movies appeared , such as this one , written by the late adam kennedy ( based on his novel ) . gene hackman plays ex - vietnam veteran ' roy tucker ' , a loser who has wound up in prison . he receives visits from marvin tagge ( richard widmark ) , who claims to represent an organisation designed to assist the wrongly convicted . they offer him freedom , and despite distrusting tagge he accepts . but he brings along a fellow cell mate by the name of spiventa ( mickey rooney ) . exactly why is hard to see , as spiventa is an irritating little man who drives tucker mad with persistent talk of sex , not what you want to hear when you are behind bars . tagge ' s benefactors kill spiventa before tucker ' s astonished eyes . reunited with wife ellie ( candice bergen ) , and given a new identity ( strangely , he does not attempt to change his appearance . shaving off that cheesy moustache would have been a start ) , he settles down , but finds there is a catch - tagge wants tucker to do no less than assassinate the president of the united states . he refuses , so tagge has ellie abducted . . . i will leave the synopsis here , but i am sure you can guess the rest for yourself . the script has enough plot holes to make you want to read the book ( neat trick that ! ) . the people tagge represents are never revealed . the allusions to j . f . k . ' s killing are unmistakable . despite the findings of the warren commission , the doubt as to whether lee harvey oswald acted alone persists to this day . this was stanley kramer ' s first movie in years , and while no turkey , it lacks the grip of say john frankenheimer ' s ' the manchurian candidate ' or alan j . pakula ' s ' the parallax view ' . being a left - wing conspiracy movie , it tends to skirt around its subject matter instead of getting to grips with it . i prefer right - wing ones myself - they are funnier ! ' domino ' has the look and feel of a made - for - t . v . movie , and boasts what must be the easiest prison escape in movie history not to mention an ending copped from the michael caine classic ' get carter ' . what makes it watchable are gene hackman and richard widmark . the latter , who sadly passed away earlier this year , is superb as the mysterious tagge , who initially appears to be behind the operation until he too is ruthlessly eliminated , beginning a chain of deaths designed to remove all trace of evidence as one by one the perpetrators of this evil plot fall - just like dominoes . as tucker , the innocent pawn , hackman is marvellous . you have to wonder though why he chose to hide out in such an obvious place . in his shoes , i ' d have fled to the other side of the world , anywhere to get away from these fanatics . hackman ' s love scenes with bergen slow the plot down , and it is almost a relief when she gets snatched . presumably the producers thought so too , which explains why it opens with a bizarre prologue setting out the film ' s entire premise - voiced by british actor patrick allen - warning the audience that ' they ' are out there , and that ' they ' are out to get us . comedian les dawson later spoofed this opening in his b . b . c . show ' the dawson watch ' . mickey rooney had earlier worked with kramer on ' its a mad , mad , mad , mad , mad world ' . his ' death ' scene here resembles like an outtake from that picture , with the actor looking as though he has been stung by a wasp rather than shot dead . conspiracy movies used to be only made by the left , but now the right are getting in on the act too . last year , ' taking liberties ' , an absurd concoction of lies and half - truths about tony blair ' s government turned out to be britain ' s answer to ' reefer madness ' . at least , ' domino ' had lovely candice bergen . the best chris atkins ' film could offer was anne widdecombe ! surprisingly , ' the domino principle ' was made by sir lew grade , the legendary british television mogul behind ' the saint ' , ' jesus of nazareth ' and ' the muppet show ' . he worked with adam kennedy again in 1980 on ' raise the titanic ! ' , whose failure was so great it sank grade ' s ambitions of being the new louis b . meyer . being somewhat open - minded , i would not rule out the possibility of a conspiracy .",positive,negative,0.9999982278701429,,
